month,hour,day_of_week,dow_total,dow_duration
2022-03,7,Sunday,2826,0 days 00:10:37.138711960
2022-03,7,Thursday,16013,0 days 00:10:21.355773434
2022-03,7,Tuesday,18471,0 days 00:10:29.902333387
2022-03,7,Wednesday,18003,0 days 00:10:29.132533466
2022-03,8,Friday,18282,0 days 00:11:00.244338693
2022-03,8,Monday,19617,0 days 00:11:16.473262986
2022-03,8,Saturday,5188,0 days 00:10:23.696222050
2022-03,8,Sunday,4950,0 days 00:11:06.425050505
2022-03,8,Thursday,23621,0 days 00:10:47.159688412
2022-03,8,Tuesday,26924,0 days 00:11:04.452347348
2022-03,8,Wednesday,26390,0 days 00:11:02.520689655
2022-03,9,Friday,14309,0 days 00:10:55.317702145
2022-03,9,Monday,13855,0 days 00:11:16.572284373
2022-03,9,Saturday,8275,0 days 00:11:13.215105740
2022-03,9,Sunday,7314,0 days 00:11:51.494531036
2022-03,9,Thursday,16018,0 days 00:10:39.346360344
2022-03,9,Tuesday,18437,0 days 00:10:54.781363562
2022-03,9,Wednesday,17856,0 days 00:10:53.565524193
2022-03,10,Friday,11953,0 days 00:11:55.277670877
2022-03,10,Monday,9626,0 days 00:11:44.754415125
2022-03,10,Saturday,11297,0 days 00:11:48.208196866
2022-03,10,Sunday,10240,0 days 00:12:19.618652343
2022-03,10,Thursday,11678,0 days 00:11:04.000941942
2022-03,10,Tuesday,12421,0 days 00:11:23.204250865
2022-03,10,Wednesday,11941,0 days 00:11:25.159199397
2022-03,11,Friday,13603,0 days 00:12:39.573770491
2022-03,11,Monday,9940,0 days 00:12:17.736317907
2022-03,11,Saturday,12630,0 days 00:12:20.017577197
2022-03,11,Sunday,13279,0 days 00:12:41.398599292
2022-03,11,Thursday,12006,0 days 00:11:27.266033649
2022-03,11,Tuesday,12320,0 days 00:11:50.852922077
2022-03,11,Wednesday,12088,0 days 00:11:47.856551952
2022-03,12,Friday,15853,0 days 00:13:01.609537626
2022-03,12,Monday,11810,0 days 00:12:23.120999153
2022-03,12,Saturday,15288,0 days 00:13:27.669610151
2022-03,12,Sunday,15510,0 days 00:13:15.506769825
2022-03,12,Thursday,13761,0 days 00:11:27.075793910
2022-03,12,Tuesday,14114,0 days 00:11:43.525081479
2022-03,12,Wednesday,13824,0 days 00:11:44.202401620
2022-03,13,Friday,17756,0 days 00:13:07.285086731
2022-03,13,Monday,12803,0 days 00:12:08.833476528
2022-03,13,Saturday,17823,0 days 00:13:56.591595129
2022-03,13,Sunday,16595,0 days 00:13:54.403314251
2022-03,13,Thursday,14194,0 days 00:11:16.996125123
